x,elements
0.0,1.0
0.0049499999999999995,1.0
0.009899999999999999,1.0
0.014849999999999999,1.0
0.019799999999999998,1.0
0.024749999999999998,1.0
0.029699999999999997,1.0
0.03465,1.0
0.039599999999999996,2.0
0.04454999999999999,2.0
0.049499999999999995,2.0
0.05445,2.0
0.059399999999999994,2.0
0.06434999999999999,2.0
0.0693,2.0
0.07425,2.0
0.07919999999999999,2.0
0.08414999999999999,2.0
0.08909999999999998,2.0
0.09405,2.0
0.09899999999999999,2.0
0.10394999999999999,2.0
0.1089,2.0
0.11384999999999999,2.0
0.11879999999999999,2.0
0.12374999999999999,2.0
0.12869999999999998,2.0
0.13365,3.0
0.1386,3.0
0.14354999999999998,3.0
0.1485,3.0
0.15344999999999998,3.0
0.15839999999999999,3.0
0.16335,3.0
0.16829999999999998,3.0
0.17325,3.0
0.17819999999999997,3.0
0.18314999999999998,3.0
0.1881,3.0
0.19304999999999997,3.0
0.19799999999999998,3.0
0.20295,3.0
0.20789999999999997,3.0
0.21284999999999998,3.0
0.2178,3.0
0.22274999999999998,3.0
0.22769999999999999,3.0
0.23264999999999997,4.0
0.23759999999999998,4.0
0.24255,4.0
0.24749999999999997,4.0
0.25244999999999995,4.0
0.25739999999999996,4.0
0.26234999999999997,4.0
0.2673,4.0
0.27225,4.0
0.2772,4.0
0.28214999999999996,4.0
0.28709999999999997,4.0
0.29205,4.0
0.297,4.0
0.30195,4.0
0.30689999999999995,4.0
0.31184999999999996,4.0
0.31679999999999997,5.0
0.32175,5.0
0.3267,5.0
0.33164999999999994,5.0
0.33659999999999995,5.0
0.34154999999999996,5.0
0.3465,5.0
0.35145,5.0
0.35639999999999994,5.0
0.36134999999999995,5.0
0.36629999999999996,5.0
0.37124999999999997,5.0
0.3762,5.0
0.38115,5.0
0.38609999999999994,5.0
0.39104999999999995,6.0
0.39599999999999996,6.0
0.40095,6.0
0.4059,6.0
0.41084999999999994,6.0
0.41579999999999995,6.0
0.42074999999999996,6.0
0.42569999999999997,6.0
0.43065,6.0
0.4356,6.0
0.44054999999999994,6.0
0.44549999999999995,6.0
0.45044999999999996,6.0
0.45539999999999997,7.0
0.46035,7.0
0.46529999999999994,7.0
0.47024999999999995,7.0
0.47519999999999996,7.0
0.48014999999999997,7.0
0.4851,7.0
0.49004999999999993,7.0
0.49499999999999994,7.0
0.49994999999999995,7.0
0.5048999999999999,7.0
0.5098499999999999,8.0
0.5147999999999999,8.0
0.5197499999999999,8.0
0.5246999999999999,8.0
0.52965,8.0
0.5346,8.0
0.53955,8.0
0.5445,8.0
0.54945,8.0
0.5544,9.0
0.5593499999999999,9.0
0.5642999999999999,9.0
0.5692499999999999,9.0
0.5741999999999999,9.0
0.5791499999999999,9.0
0.5841,9.0
0.58905,9.0
0.594,10.0
0.59895,10.0
0.6039,10.0
0.6088499999999999,10.0
0.6137999999999999,10.0
0.6187499999999999,10.0
0.6236999999999999,11.0
0.6286499999999999,11.0
0.6335999999999999,11.0
0.63855,11.0
0.6435,11.0
0.64845,11.0
0.6534,12.0
0.65835,12.0
0.6632999999999999,12.0
0.6682499999999999,12.0
0.6731999999999999,12.0
0.6781499999999999,13.0
0.6830999999999999,13.0
0.6880499999999999,13.0
0.693,13.0
0.69795,13.0
0.7029,14.0
0.70785,14.0
0.7127999999999999,14.0
0.7177499999999999,15.0
0.7226999999999999,15.0
0.7276499999999999,15.0
0.7325999999999999,15.0
0.7375499999999999,16.0
0.7424999999999999,16.0
0.74745,16.0
0.7524,17.0
0.75735,17.0
0.7623,17.0
0.7672499999999999,18.0
0.7721999999999999,18.0
0.7771499999999999,19.0
0.7820999999999999,19.0
0.7870499999999999,20.0
0.7919999999999999,20.0
0.7969499999999999,20.0
0.8019,21.0
0.80685,22.0
0.8118,22.0
0.81675,23.0
0.8216999999999999,23.0
0.8266499999999999,24.0
0.8315999999999999,25.0
0.8365499999999999,25.0
0.8414999999999999,26.0
0.8464499999999999,27.0
0.8513999999999999,28.0
0.85635,29.0
0.8613,30.0
0.86625,31.0
0.8712,32.0
0.8761499999999999,33.0
0.8810999999999999,35.0
0.8860499999999999,36.0
0.8909999999999999,38.0
0.8959499999999999,39.0
0.9008999999999999,41.0
0.9058499999999999,43.0
0.9107999999999999,45.0
0.91575,48.0
0.9207,51.0
0.9256499999999999,54.0
0.9305999999999999,57.0
0.9355499999999999,61.0
0.9404999999999999,66.0
0.9454499999999999,71.0
0.9503999999999999,78.0
0.9553499999999999,86.0
0.9602999999999999,95.0
0.9652499999999999,107.0
0.9702,123.0
0.97515,145.0
0.9800999999999999,176.0
0.9850499999999999,227.0
